SCH_ID,SCH_NAME,SCH_CAT,SCH_TYPE,LAT,LONG,BARANGAY,MUNNAME,PROV,PSGC_MUNI,PSGC_BRGY,PSGC_PROV
215015,Akbar ES,ES,Public,6.664125,122.195725,Upper Bato-Bato,Akbar,BASILAN,PH150708000,PH150708008,PH150700000
133181,Bato-Bato ES,ES,Public,6.664908,122.184769,Lower Bato-bato,Akbar,BASILAN,PH150708000,PH150708003,PH150700000
133186,Caddayan ES,ES,Public,6.658167,122.190614,Caddayan,Akbar,BASILAN,PH150708000,PH150708001,PH150700000
133198,Linongan PS,PS,Public,6.729596,122.256264,Linongan,Akbar,BASILAN,PH150708000,PH150708002,PH150700000
133200,Mangalut ES,ES,Public,6.603544,122.210689,Mangalut,Akbar,BASILAN,PH150708000,PH150708004,PH150700000
133206,Semut ES,ES,Public,6.662078,122.218269,Semut,Akbar,BASILAN,PH150708000,PH150708007,PH150700000
318004,Upper Bato-Bato NHS,JHS,Public,6.664968,122.19269,Upper Bato-Bato,Akbar,BASILAN,PH150708000,PH150708008,PH150700000
133137,Bato-Bato ES,ES,Public,6.501508,122.195781,Bato-Bato,Al-Barka,BASILAN,PH150709000,PH150709002,PH150700000
133159,Bohepiang ES,ES,Public,6.473483,122.151053,Bohe-Piang,Al-Barka,BASILAN,PH150709000,PH150709003,PH150700000
133143,Bucalao PS,PS,Public,6.495036,122.196453,Bucalao,Al-Barka,BASILAN,PH150709000,PH150709004,PH150700000
133144,Cambug ES,ES,Public,6.50951,122.193174,Cambug,Al-Barka,BASILAN,PH150709000,PH150709005,PH150700000
133163,Danapah ES,ES,Public,6.506425,122.171378,Danapah,Al-Barka,BASILAN,PH150709000,PH150709006,PH150700000
133164,Guinanta/Magcawa ES,ES,Public,6.495342,122.143903,Magcawa,Al-Barka,BASILAN,PH150709000,PH150709015,PH150700000
133165,Kailih ES,ES,Public,6.491598,122.14357,Kailih,Al-Barka,BASILAN,PH150709000,PH150709008,PH150700000
133148,Kaulungan PS,PS,Public,6.46215,122.212136,Sangkahan (Kaulungan Island),Al-Barka,BASILAN,PH150709000,PH150709016,PH150700000
133166,Kinukutan ES,ES,Public,,,Kinukutan,Al-Barka,BASILAN,PH150709000,PH150709009,PH150700000
133168,Kuhon Lennuh ES,ES,Public,6.474767,122.16375,Kuhon Lennuh,Al-Barka,BASILAN,PH150709000,PH150709011,PH150700000
133170,Linuan ES,ES,Public,6.491982,122.140114,Linuan,Al-Barka,BASILAN,PH150709000,PH150709012,PH150700000
133539,Comara ES,ES,Public,7.813694,124.65415,Comara,AMAI MANABILANG (BUMBARAN),LANAO DEL SUR,PH153637000,PH153637005,PH153600000
133540,Francfort CES,CES,Public,7.786121,124.681771,Frankfort,AMAI MANABILANG (BUMBARAN),LANAO DEL SUR,PH153637000,PH153637006,PH153600000
133541,Natangcopan PS,PS,Public,7.824348,124.637361,Natangcopan,AMAI MANABILANG (BUMBARAN),LANAO DEL SUR,PH153637000,PH153637012,PH153600000
133542,Punud ES,ES,Public,7.803634,124.661016,Punud,AMAI MANABILANG (BUMBARAN),LANAO DEL SUR,PH153637000,PH153637016,PH153600000
133543,Salam PS,PS,Public,7.823799,124.628361,Salam,AMAI MANABILANG (BUMBARAN),LANAO DEL SUR,PH153637000,PH153637018,PH153600000
133544,Sumugot ES,ES,Public,7.763913,124.681116,Sumugot,AMAI MANABILANG (BUMBARAN),LANAO DEL SUR,PH153637000,PH153637021,PH153600000
304962,Amai Manabilang NHS,SHS,Public,7.786721,124.683076,Frankfort,AMAI MANABILANG (BUMBARAN),LANAO DEL SUR,PH153637000,PH153637006,PH153600000
133875,Datu Dumpao Banog ES,ES,Public,6.843938,124.476045,Kapinpilan,Ampatuan,MAGUINDANAO,PH153801000,PH153801014,PH153800000
133877,Datu Sangki Ampatuan CES,CES,Public,6.832546,124.458473,Dicalongan (Pob.),Ampatuan,MAGUINDANAO,PH153801000,PH153801004,PH153800000
133880,Kamasi ES,ES,Public,6.737672,124.5057,Kamasi,Ampatuan,MAGUINDANAO,PH153801000,PH153801012,PH153800000
133881,Kauran ES,ES,Public,6.780897,124.476417,Kauran,Ampatuan,MAGUINDANAO,PH153801000,PH153801015,PH153800000
133884,MALATIMON ES,ES,Public,6.853542,124.498611,Malatimon,Ampatuan,MAGUINDANAO,PH153801000,PH153801018,PH153800000
216546,Matagabong ES,ES,Public,6.829296,124.485293,Matagabong,Ampatuan,MAGUINDANAO,PH153801000,PH153801022,PH153800000
133887,Pinagayao ES,ES,Public,6.782557,124.503351,Kauran,Ampatuan,MAGUINDANAO,PH153801000,PH153801015,PH153800000
133888,Saniag ES,ES,Public,6.783658,124.44154,Saniag,Ampatuan,MAGUINDANAO,PH153801000,PH153801028,PH153800000
216586,Sultan Umpig ES,ES,Public,6.724617,124.339617,Tubak,Ampatuan,MAGUINDANAO,PH153801000,PH153801032,PH153800000
133890,Tomicor ES,ES,Public,6.74701,124.45948,Tomicor,Ampatuan,MAGUINDANAO,PH153801000,PH153801031,PH153800000
408716,J-Rapha Learning Center,PES,Private,,,Kauran,AMPATUAN,MAGUINDANAO,PH153801000,PH153801015,PH153800000
304999,Ampatuan NHS,JHS,Public,6.83309,124.460565,Dicalongan (Pob.),Ampatuan,MAGUINDANAO,PH153801000,PH153801004,PH153800000
305012,Kauran NHS,SHS,Public,6.779158,124.471703,Kauran,Ampatuan,MAGUINDANAO,PH153801000,PH153801015,PH153800000
405841,"VMC Asian College Foundation, Inc.-Kauran Branch",PSHS,Private,,,Kauran,AMPATUAN,MAGUINDANAO,PH153801000,PH153801015,PH153800000
318202,Bacolod Grande NHS,JHS,Public,7.868462,124.151719,Tuka I,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601027,PH153600000
304980,Bacolod-Kalawi NHS,SHS,Public,7.859213,124.143345,Bubong,BACOLOD-KALAWI (BACOLOD GRANDE),LANAO DEL SUR,PH153601000,PH153601007,PH153600000
