,PSGC_BRGY,PSGC_CITY_MUNI,PSGC_PROV,latitude,longitude,Total_under18,Total_18to59,Total_over60,Male_under18,Male_18to59,Male_over60,Female_under18,Female_18to59,Female_over60,hospital_exist,rhu_exist,hospital_count,rhu_count
0,PH150703011,PH150703000,PH150700000,0.0,0.0,327.0,538.0,64.0,167.0,282.0,27.0,160.0,256.0,37.0,0,1,0,1
1,PH150704013,PH150704000,PH150700000,6.5423396999999985,121.87760759999999,2235.0,2489.0,269.0,1154.0,1208.0,123.0,1081.0,1281.0,146.0,0,1,0,1
2,PH150705022,PH150705000,PH150700000,6.502414799999999,122.0666997,889.0,956.0,74.0,435.0,472.0,46.0,454.0,484.0,28.0,0,1,0,1
3,PH150705031,PH150705000,PH150700000,6.425996,122.00655400000001,695.0,786.0,72.0,342.0,363.0,41.0,353.0,423.0,31.0,1,0,1,0
4,PH150706002,PH150706000,PH150700000,6.5539413999999985,122.1547358,1470.0,1489.0,113.0,633.0,698.0,57.0,837.0,791.0,56.0,0,1,0,1
5,PH150706016,PH150706000,PH150700000,6.539674400000001,122.1604131,1512.0,1375.0,96.0,730.0,652.0,48.0,782.0,723.0,48.0,0,1,0,1
6,PH150707033,PH150707000,PH150700000,6.6116049,122.188795,963.0,866.0,50.0,497.0,387.0,22.0,466.0,479.0,28.0,0,1,0,1
7,PH150709015,PH150709000,PH150700000,6.5475268,122.1149864,1106.0,940.0,48.0,597.0,486.0,27.0,509.0,454.0,21.0,0,1,0,1
8,PH150710002,PH150710000,PH150700000,6.638911900000001,122.2917357,1420.0,1404.0,103.0,780.0,662.0,49.0,640.0,742.0,54.0,0,1,0,1
9,PH150711002,PH150711000,PH150700000,6.463803700000001,122.188795,751.0,648.0,38.0,403.0,300.0,20.0,348.0,348.0,18.0,0,1,0,1
10,PH150713006,PH150713000,PH150700000,6.3150195999999985,121.9231332,2283.0,1807.0,84.0,1149.0,892.0,47.0,1134.0,915.0,37.0,0,1,0,1
11,PH153601013,PH153601000,PH153600000,0.0,0.0,282.0,555.0,67.0,134.0,269.0,35.0,148.0,286.0,32.0,0,1,0,1
12,PH153602039,PH153602000,PH153600000,7.508563000000001,124.1288459,611.0,816.0,58.0,305.0,399.0,27.0,306.0,417.0,31.0,0,1,0,1
13,PH153603047,PH153603000,PH153600000,7.9169693,124.1979043,538.0,477.0,28.0,286.0,241.0,14.0,252.0,236.0,14.0,1,0,1,0
14,PH153604024,PH153604000,PH153600000,7.7982124000000015,124.19734070000001,352.0,351.0,11.0,168.0,164.0,5.0,184.0,187.0,6.0,0,1,0,1
15,PH153605004,PH153605000,PH153600000,7.763306300000001,124.16432009999998,744.0,625.0,33.0,350.0,294.0,21.0,394.0,331.0,12.0,0,1,0,1
16,PH153606033,PH153606000,PH153600000,7.991685,124.3879264,273.0,311.0,21.0,142.0,143.0,11.0,131.0,168.0,10.0,0,1,0,1
17,PH153607044,PH153607000,PH153600000,7.7460555000000015,124.315767,1357.0,1221.0,66.0,647.0,582.0,41.0,710.0,639.0,25.0,0,1,0,1
18,PH153609018,PH153609000,PH153600000,7.806447200000001,124.09754699999999,724.0,847.0,37.0,326.0,398.0,21.0,398.0,449.0,16.0,0,1,0,1
19,PH153612043,PH153612000,PH153600000,7.7798855,124.2491064,688.0,810.0,54.0,362.0,379.0,23.0,326.0,431.0,31.0,0,1,0,1
20,PH153615063,PH153615000,PH153600000,7.580274799999999,124.11702759999999,216.0,314.0,25.0,109.0,154.0,15.0,107.0,160.0,10.0,0,1,0,1
21,PH153617025,PH153617000,PH153600000,7.984999500000002,124.25535790000002,2127.0,2015.0,80.0,1015.0,919.0,42.0,1112.0,1096.0,38.0,0,1,0,1
22,PH153617044,PH153617000,PH153600000,8.000297999999999,124.30023200000001,1019.0,764.0,19.0,445.0,370.0,13.0,574.0,394.0,6.0,1,0,1,0
23,PH153617045,PH153617000,PH153600000,8.0291965,124.29771799999999,750.0,887.0,34.0,350.0,421.0,14.0,400.0,466.0,20.0,0,1,0,1
24,PH153617051,PH153617000,PH153600000,7.9993991000000015,124.29980069999999,1103.0,1264.0,71.0,543.0,585.0,31.0,560.0,679.0,40.0,0,1,0,1
25,PH153617069,PH153617000,PH153600000,7.991046699999999,124.2713321,630.0,570.0,24.0,299.0,289.0,9.0,331.0,281.0,15.0,0,1,0,1
26,PH153617127,PH153617000,PH153600000,7.9922957000000014,124.31056090000001,801.0,602.0,19.0,414.0,287.0,13.0,387.0,315.0,6.0,0,1,0,1
27,PH153618089,PH153618000,PH153600000,7.816204699999999,124.3324244,962.0,811.0,55.0,480.0,392.0,21.0,482.0,419.0,34.0,0,1,0,1
28,PH153619013,PH153619000,PH153600000,7.9167152000000005,124.36185990000001,240.0,150.0,7.0,128.0,78.0,3.0,112.0,72.0,4.0,0,1,0,1
29,PH153621040,PH153621000,PH153600000,8.0024753,124.1865669,234.0,233.0,29.0,116.0,111.0,17.0,118.0,122.0,12.0,0,1,0,1
30,PH153622004,PH153622000,PH153600000,7.840630899999999,124.3435275,711.0,546.0,38.0,331.0,260.0,20.0,380.0,286.0,18.0,0,1,0,1
31,PH153623033,PH153623000,PH153600000,7.806935799999999,124.07945409999999,443.0,365.0,26.0,256.0,166.0,16.0,187.0,199.0,10.0,0,1,0,1
32,PH153624001,PH153624000,PH153600000,8.0012742,124.3476909,345.0,358.0,21.0,181.0,171.0,10.0,164.0,187.0,11.0,0,1,0,1
33,PH153625033,PH153625000,PH153600000,8.033829299999999,124.26918359999999,899.0,1017.0,80.0,479.0,484.0,36.0,420.0,533.0,44.0,0,1,0,1
34,PH153626034,PH153626000,PH153600000,7.876309,124.32816799999999,197.0,234.0,7.0,127.0,115.0,4.0,70.0,119.0,3.0,1,0,1,0
35,PH153626038,PH153626000,PH153600000,7.872520599999999,124.3365882,389.0,316.0,19.0,188.0,140.0,6.0,201.0,176.0,13.0,0,1,0,1
36,PH153627063,PH153627000,PH153600000,7.884077499999999,124.3432456,245.0,280.0,20.0,120.0,127.0,14.0,125.0,153.0,6.0,0,1,0,1
37,PH153628036,PH153628000,PH153600000,7.709218700000001,124.12259270000001,788.0,617.0,29.0,393.0,295.0,13.0,395.0,322.0,16.0,0,1,0,1
38,PH153630042,PH153630000,PH153600000,7.6381570000000005,124.72207399999999,1147.0,1208.0,142.0,570.0,605.0,64.0,577.0,603.0,78.0,1,0,1,0
39,PH153631018,PH153631000,PH153600000,7.6770613,124.15015430000001,1855.0,1552.0,59.0,930.0,737.0,24.0,925.0,815.0,35.0,0,1,0,1
40,PH153632048,PH153632000,PH153600000,7.7228682000000015,124.0223683,483.0,674.0,33.0,257.0,329.0,16.0,226.0,345.0,17.0,0,1,0,1
41,PH153634007,PH153634000,PH153600000,7.884600700000001,124.3934747,272.0,234.0,12.0,118.0,105.0,8.0,154.0,129.0,4.0,0,1,0,1
42,PH153637006,PH153637000,PH153600000,7.749391999999999,124.66201540000002,504.0,860.0,52.0,264.0,475.0,23.0,240.0,385.0,29.0,0,1,0,1
43,PH153638017,PH153638000,PH153600000,8.0799503,124.4051804,274.0,258.0,6.0,136.0,132.0,3.0,138.0,126.0,3.0,0,1,0,1
44,PH153639004,PH153639000,PH153600000,7.465773699999999,124.1865669,1114.0,1099.0,18.0,550.0,539.0,13.0,564.0,560.0,5.0,0,1,0,1
45,PH153640004,PH153640000,PH153600000,7.733163900000001,124.27966529999999,670.0,605.0,33.0,315.0,285.0,18.0,355.0,320.0,15.0,0,1,0,1
46,PH153641005,PH153641000,PH153600000,7.7400189,124.2296543,315.0,770.0,25.0,143.0,378.0,16.0,172.0,392.0,9.0,0,1,0,1
47,PH153801004,PH153801000,PH153800000,6.8417843,124.48081429999999,1956.0,2186.0,101.0,1063.0,1041.0,52.0,893.0,1145.0,49.0,0,1,0,1
48,PH153802007,PH153802000,PH153800000,7.5084879,124.3809905,2207.0,1708.0,83.0,1151.0,847.0,37.0,1056.0,861.0,46.0,0,1,0,1
49,PH153803039,PH153803000,PH153800000,6.743266499999999,124.80169450000001,13029.0,11798.0,543.0,6687.0,5841.0,265.0,6342.0,5957.0,278.0,0,1,0,1
50,PH153805026,PH153805000,PH153800000,6.741063400000001,124.88448670000001,2241.0,2634.0,110.0,1167.0,1312.0,61.0,1074.0,1322.0,49.0,0,1,0,1
51,PH153806034,PH153806000,PH153800000,7.028167,124.4989425,3620.0,5529.0,314.0,1859.0,2640.0,169.0,1761.0,2889.0,145.0,0,1,0,1
52,PH153807013,PH153807000,PH153800000,7.021309100000002,124.31881229999999,6728.0,7040.0,326.0,3318.0,3282.0,145.0,3410.0,3758.0,181.0,0,1,0,1
53,PH153807014,PH153807000,PH153800000,7.024216,124.311746,1443.0,2326.0,178.0,694.0,1101.0,77.0,749.0,1225.0,101.0,1,0,1,0
54,PH153808034,PH153808000,PH153800000,0.0,0.0,3616.0,3217.0,177.0,1815.0,1597.0,100.0,1801.0,1620.0,77.0,0,1,0,1
55,PH153809004,PH153809000,PH153800000,7.4446672000000005,124.2699432,2954.0,3328.0,130.0,1507.0,1653.0,74.0,1447.0,1675.0,56.0,0,1,0,1
56,PH153810021,PH153810000,PH153800000,0.0,0.0,4333.0,4762.0,190.0,2761.0,2433.0,88.0,1572.0,2329.0,102.0,0,1,0,1
57,PH153811020,PH153811000,PH153800000,7.3331287,124.2310439,5266.0,6212.0,502.0,2518.0,2822.0,218.0,2748.0,3390.0,284.0,0,1,0,1
58,PH153812012,PH153812000,PH153800000,7.2726695999999995,124.29140120000001,2888.0,3608.0,304.0,1452.0,1827.0,146.0,1436.0,1781.0,158.0,0,1,0,1
