,PSGC_PROV,PROV,PSGC_CITY/MUNI,CITY/MUNI,PSGC_BRGY,BRGY,brgy_address
0,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702001, Arco                                                                                                                                                                                                                                                           , Arco                                                                                                                                                                                                                                                             CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
1,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702002, Ba-as                                                                                                                                                                                                                                                          , Ba-as                                                                                                                                                                                                                                                            CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
2,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702004, Baimbing                                                                                                                                                                                                                                                       , Baimbing                                                                                                                                                                                                                                                         CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
3,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702005, Balagtasan                                                                                                                                                                                                                                                     , Balagtasan                                                                                                                                                                                                                                                       CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
4,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702006, Balas                                                                                                                                                                                                                                                          , Balas                                                                                                                                                                                                                                                            CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
5,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702007, Balobo                                                                                                                                                                                                                                                         , Balobo                                                                                                                                                                                                                                                           CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
6,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702008, Bato                                                                                                                                                                                                                                                           , Bato                                                                                                                                                                                                                                                             CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
7,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702010, Boheyakan                                                                                                                                                                                                                                                      , Boheyakan                                                                                                                                                                                                                                                        CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
8,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702011, Buahan                                                                                                                                                                                                                                                         , Buahan                                                                                                                                                                                                                                                           CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
9,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702012, Boheibu                                                                                                                                                                                                                                                        , Boheibu                                                                                                                                                                                                                                                          CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
10,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702013, Bohesapa                                                                                                                                                                                                                                                       , Bohesapa                                                                                                                                                                                                                                                         CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
11,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702014, Bulingan                                                                                                                                                                                                                                                       , Bulingan                                                                                                                                                                                                                                                         CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
12,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702016, Cabobo                                                                                                                                                                                                                                                         , Cabobo                                                                                                                                                                                                                                                           CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
13,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702018, Campo Uno                                                                                                                                                                                                                                                      , Campo Uno                                                                                                                                                                                                                                                        CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
14,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702020, Colonia                                                                                                                                                                                                                                                        , Colonia                                                                                                                                                                                                                                                          CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
15,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702024, Calugusan                                                                                                                                                                                                                                                      , Calugusan                                                                                                                                                                                                                                                        CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
16,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702025, Kulay Bato                                                                                                                                                                                                                                                     , Kulay Bato                                                                                                                                                                                                                                                       CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
17,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702028, Limo-ok                                                                                                                                                                                                                                                        , Limo-ok                                                                                                                                                                                                                                                          CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
18,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702032, Lo-ok                                                                                                                                                                                                                                                          , Lo-ok                                                                                                                                                                                                                                                            CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
19,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702034, Lumuton                                                                                                                                                                                                                                                        , Lumuton                                                                                                                                                                                                                                                          CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
20,PH150700000, BASILAN                                                                                                                                                                                                                                                        ,PH150702000, CITY OF LAMITAN                                                                                                                                                                                                                                                ,PH150702035, Luksumbang                                                                                                                                                                                                                                                     , Luksumbang                                                                                                                                                                                                                                                       CITY OF LAMITAN                                                                                                                                                                                                                                                  BASILAN                                                                                                                                                                                                                                                         PHILIPPINES
