,amenity,name,geometry,lon,lat
0,atm,,POINT (125.4971185 7.0177029),125.4971185,7.0177029
1,atm,,POINT (124.6570008 8.4812475),124.6570008,8.4812475
2,atm,,POINT (124.6558908 8.482707),124.6558908,8.482707
3,atm,,POINT (123.9604327 8.1608926),123.9604327,8.1608926
4,atm,,POINT (123.8057818 8.482535499999999),123.8057818,8.4825355
5,atm,,POINT (123.8054681 8.4822012),123.8054681,8.4822012
6,atm,,POINT (124.2386782 7.1978508),124.2386782,7.1978508
7,atm,,POINT (124.3056901 8.4994526),124.3056901,8.4994526
8,atm,,POINT (124.2454717 8.2282303),124.2454717,8.2282303
9,atm,,POINT (125.0630613 6.2206276),125.0630613,6.2206276
10,atm,,POINT (125.0624283 6.2176786),125.0624283,6.2176786
11,atm,,POINT (125.0623479 6.2176492),125.0623479,6.2176492
12,atm,,POINT (125.0925299 7.9047646),125.0925299,7.9047646
13,atm,DBP,POINT (122.0756172 6.9038012),122.0756172,6.9038012
14,atm,ONB PeraAgad ATM,POINT (125.2531511 6.3080693),125.2531511,6.3080693
15,atm,BDO Network Bank,POINT (125.3551103 6.749181),125.3551103,6.749181
16,atm,,POINT (122.211177 7.0719638),122.211177,7.0719638
17,atm,,POINT (122.0771641 6.9036139),122.0771641,6.9036139
18,atm,,POINT (122.0771776 6.9036084),122.0771776,6.9036084
19,atm,,POINT (122.077151 6.9036223),122.077151,6.9036223
20,atm,,POINT (122.0738905 6.9095376),122.0738905,6.9095376
21,atm,,POINT (122.0738888 6.9095512),122.0738888,6.9095512
22,atm,Philippine National Bank,POINT (122.0758392 6.9043841),122.0758392,6.9043841
23,atm,,POINT (122.0796465 6.9123533),122.0796465,6.9123533
24,atm,,POINT (122.0915473 6.9319857),122.0915473,6.9319857
25,atm,,POINT (122.0725687 6.920845),122.0725687,6.920845
26,atm,Metrobank,POINT (122.075545 6.9169231),122.075545,6.9169231
27,atm,East-West Bank,POINT (122.0772078 6.9038649),122.0772078,6.9038649
28,atm,,POINT (122.0773462 6.9066793),122.0773462,6.9066793
29,atm,,POINT (122.077902 6.9068291),122.077902,6.9068291
30,atm,Metrobank,POINT (122.0771131 6.9065721),122.0771131,6.9065721
31,atm,,POINT (122.0765795 6.9062969),122.0765795,6.9062969
32,atm,,POINT (122.0739607 6.905394),122.0739607,6.905394
33,atm,,POINT (122.0741314 6.9079779),122.0741314,6.9079779
34,atm,,POINT (122.0736026 6.9093778),122.0736026,6.9093778
35,atm,,POINT (122.0733109 6.9102289),122.0733109,6.9102289
36,atm,,POINT (122.0726013 6.9098521),122.0726013,6.9098521
37,atm,,POINT (122.0912759 6.9314862),122.0912759,6.9314862
38,atm,,POINT (122.089764 6.9311333),122.089764,6.9311333
39,atm,,POINT (122.0897494 6.9311281),122.0897494,6.9311281
40,atm,,POINT (122.0898644 6.9308957),122.0898644,6.9308957
41,atm,,POINT (122.0906994 6.9315899),122.0906994,6.9315899
42,atm,,POINT (122.0753828 6.9175865),122.0753828,6.9175865
43,atm,,POINT (122.0766007 6.9131074),122.0766007,6.9131074
44,atm,,POINT (122.0773231 6.9069085),122.0773231,6.9069085
45,atm,,POINT (122.0769585 6.9060963),122.0769585,6.9060963
46,atm,,POINT (122.0769424 6.9060683),122.0769424,6.9060683
47,atm,,POINT (122.0769277 6.9060417),122.0769277,6.9060417
48,atm,,POINT (122.0753143 6.9179616),122.0753143,6.9179616
49,atm,,POINT (122.079423 6.9171178),122.079423,6.9171178
50,atm,,POINT (122.0762038 6.9080592),122.0762038,6.9080592
51,atm,,POINT (122.0798409 6.9105454),122.0798409,6.9105454
52,atm,,POINT (122.0750189 6.9070022),122.0750189,6.9070022
53,atm,,POINT (122.0795271 6.9137269),122.0795271,6.9137269
54,atm,,POINT (122.0792619 6.915588),122.0792619,6.915588
55,atm,,POINT (122.079215 6.9154096),122.079215,6.9154096
56,atm,,POINT (122.0793365 6.9152443),122.0793365,6.9152443
57,atm,,POINT (122.0795861 6.915453),122.0795861,6.915453
58,atm,,POINT (122.0791942 6.9156943),122.0791942,6.9156943
59,atm,,POINT (122.077021 6.907067),122.077021,6.907067
60,atm,,POINT (122.0775642 6.904083),122.0775642,6.904083
61,atm,,POINT (122.0752376 6.905796),122.0752376,6.905796
62,atm,,POINT (122.0881295 6.9300217),122.0881295,6.9300217
