,amenity,name,geometry,lon,lat
0,bank,PNB,POINT (125.4968969 7.0140267),125.4968969,7.0140267
1,bank,BDO,POINT (125.4980035 7.016034),125.4980035,7.016034
2,bank,BPI,POINT (124.845013 6.4996771),124.845013,6.4996771
3,bank,RCBC,POINT (124.7464554 6.3722084),124.7464554,6.3722084
4,bank,PNB,POINT (124.845433 6.5019229),124.845433,6.5019229
5,bank,RCBC,POINT (124.8440505 6.4994808),124.8440505,6.4994808
6,bank,Korbank,POINT (124.8422406 6.4991454),124.8422406,6.4991454
7,bank,Bank of the Philippine Islands,POINT (125.17138 6.1103242),125.17138,6.1103242
8,bank,Asian Hills Bank,POINT (125.1260697 8.1563588),125.1260697,8.1563588
9,bank,Development Bank of the Philippines,POINT (125.1298388 8.1571073),125.1298388,8.1571073
10,bank,Bank of the Philippine Islands - Malaybalay,POINT (125.1272983 8.1554693),125.1272983,8.1554693
11,bank,One Network Bank,POINT (125.1247634 8.158055900000001),125.1247634,8.1580559
12,bank,Rural Bank Of Kiamba,POINT (124.6261109 5.9906391),124.6261109,5.9906391
13,bank,Landbank,POINT (125.0919532 7.0158455),125.0919532,7.0158455
14,bank,PBCom,POINT (124.8447166 6.4988732),124.8447166,6.4988732
15,bank,Metrobank,POINT (124.8444773 6.4988897),124.8444773,6.4988897
16,bank,Bank of the Philippine Islands,POINT (125.1848187 6.1157981),125.1848187,6.1157981
17,bank,BDO,POINT (125.0921187 7.0130044),125.0921187,7.0130044
18,bank,RCBC,POINT (125.5004656 7.0227857),125.5004656,7.0227857
19,bank,One Network Bank,POINT (125.5015188 7.0934066),125.5015188,7.0934066
20,bank,Metrobank,POINT (125.4969297 7.0135391),125.4969297,7.0135391
21,bank,PNB,POINT (125.4973831 7.0144544),125.4973831,7.0144544
22,bank,RCBC,POINT (125.1273358 8.156013700000001),125.1273358,8.1560137
23,bank,RCBC,POINT (125.4569956 7.1890845),125.4569956,7.1890845
24,bank,Landbank,POINT (125.4957305 7.0196808),125.4957305,7.0196808
25,bank,China Bank,POINT (125.4986316 7.0218238),125.4986316,7.0218238
26,bank,Union Bank of the Philippines,POINT (124.6474303 8.485360200000001),124.6474303,8.4853602
27,bank,Landbank,POINT (123.8066634 8.486293399999999),123.8066634,8.4862934
28,bank,Union Bank,POINT (123.8470899 8.1468667),123.8470899,8.1468667
29,bank,North Pole Eatery,POINT (123.844162 8.144567800000001),123.844162,8.1445678
30,bank,Pen Bank,POINT (123.8476531 8.147362899999999),123.8476531,8.1473629
31,bank,Metrobank,POINT (124.2408144 8.229668),124.2408144,8.229668
32,bank,Veterans Bank,POINT (124.2411309 8.223404800000001),124.2411309,8.2234048
33,bank,Asia United Bank,POINT (124.6617143 8.483300099999999),124.6617143,8.4833001
34,bank,RCBC,POINT (124.6603296 8.4838963),124.6603296,8.4838963
35,bank,BDO,POINT (124.6633419 8.483295399999999),124.6633419,8.4832954
36,bank,Allied Savings Bank CDO - Puerto,POINT (124.7453839 8.494989),124.7453839,8.494989
37,bank,Bukidnon Cooperative Bank,POINT (125.1080122 7.7204221),125.1080122,7.7204221
38,bank,Bank of the Philippine Islands,POINT (125.0921694 7.903697),125.0921694,7.903697
39,bank,PS Bank,POINT (125.129487 8.1521931),125.129487,8.1521931
40,bank,1st Valley Bank,POINT (125.1359981 8.0521838),125.1359981,8.0521838
41,bank,Metrobank,POINT (124.6583193 8.484453500000001),124.6583193,8.4844535
42,bank,BPI,POINT (124.6589165 8.4839345),124.6589165,8.4839345
43,bank,PBCom,POINT (124.2375263 8.2288192),124.2375263,8.2288192
44,bank,1st Valley Bank,POINT (124.0231711 8.1907289),124.0231711,8.1907289
45,bank,First Consolidated Bank,POINT (123.8469144 8.1470053),123.8469144,8.1470053
46,bank,Landbank - Ozamiz,POINT (123.8463575 8.1465082),123.8463575,8.1465082
47,bank,BDO,POINT (123.8057554 8.482524099999999),123.8057554,8.4825241
48,bank,BDO,POINT (125.1792119 6.116492),125.1792119,6.116492
49,bank,PNB,POINT (125.1285106 8.1539348),125.1285106,8.1539348
50,bank,One Network Bank,POINT (125.2532091 6.3079991),125.2532091,6.3079991
51,bank,One Network Bank,POINT (125.195601 6.127788),125.195601,6.127788
52,bank,LANDBANK,POINT (125.1842396 6.1160589),125.1842396,6.1160589
53,bank,Green Bank,POINT (125.1825106 6.1136788),125.1825106,6.1136788
54,bank,Metrobank,POINT (125.1796939 6.114956),125.1796939,6.114956
55,bank,Veterans Bank,POINT (125.1792454 6.1151759),125.1792454,6.1151759
56,bank,Landbank,POINT (125.1791087 6.1191006),125.1791087,6.1191006
57,bank,Peoples Bank,POINT (125.1796609 6.1132173),125.1796609,6.1132173
58,bank,Amanah Islamic Bank,POINT (125.1747382 6.1126845),125.1747382,6.1126845
59,bank,Security Bank,POINT (125.1796604 6.1118344),125.1796604,6.1118344
60,bank,Pen Bank,POINT (125.1701112 6.1126957),125.1701112,6.1126957
61,bank,PNB,POINT (125.1760596 6.107508),125.1760596,6.107508
62,bank,Veterans Bank,POINT (125.0883846 7.0068541),125.0883846,7.0068541
63,bank,BDO,POINT (124.826243 7.1074799),124.826243,7.1074799
64,bank,Partner Rural Bank,POINT (124.8256828 7.1072757),124.8256828,7.1072757
65,bank,Landbank,POINT (124.535658 7.1931615),124.535658,7.1931615
66,bank,Metrobank,POINT (124.5351172 7.1922112),124.5351172,7.1922112
67,bank,Rural Bank of Midsayap,POINT (124.5325731 7.188231),124.5325731,7.188231
68,bank,China Bank,POINT (124.2479531 7.222791),124.2479531,7.222791
69,bank,Insular Life,POINT (124.2507185 7.222122),124.2507185,7.222122
70,bank,RCBC,POINT (124.2494766 7.2211424),124.2494766,7.2211424
71,bank,Bank of the Philippine Islands,POINT (124.2476384 7.2237737),124.2476384,7.2237737
72,bank,Development Bank of the Philippines,POINT (124.2470164 7.2242033),124.2470164,7.2242033
73,bank,Landbank,POINT (124.2494633 7.2231556),124.2494633,7.2231556
74,bank,Ucpb,POINT (124.2483276 7.2238013),124.2483276,7.2238013
75,bank,BDO,POINT (124.246877 7.2220857),124.246877,7.2220857
76,bank,Metrobank,POINT (124.246954 7.22179),124.246954,7.22179
77,bank,PNB,POINT (124.2470152 7.2219845),124.2470152,7.2219845
78,bank,PNB,POINT (124.2467165 7.225079),124.2467165,7.225079
79,bank,China Bank,POINT (123.4386521 7.8229316),123.4386521,7.8229316
80,bank,Philippine National Bank,POINT (124.5987205 6.6365007),124.5987205,6.6365007
81,bank,RCBC,POINT (124.5976669 6.6310579),124.5976669,6.6310579
82,bank,BDO,POINT (124.5982806 6.6304208),124.5982806,6.6304208
83,bank,Land Bank,POINT (124.5983397 6.6299416),124.5983397,6.6299416
84,bank,PenBank,POINT (124.5978088 6.6300316),124.5978088,6.6300316
85,bank,Metrobank,POINT (124.6784861 6.6879182),124.6784861,6.6879182
86,bank,RCBC,POINT (124.6771667 6.6881475),124.6771667,6.6881475
87,bank,BPI,POINT (124.2400344 8.2284659),124.2400344,8.2284659
88,bank,Landbank,POINT (125.0917736 7.9046107),125.0917736,7.9046107
89,bank,One Network Bank,POINT (125.100459 7.7297466),125.100459,7.7297466
90,bank,Bank Of Commerce,POINT (125.0044368 7.7622402),125.0044368,7.7622402
91,bank,First Consolidated Bank,POINT (125.0055024 7.7634463),125.0055024,7.7634463
92,bank,Landbank,POINT (125.0020007 7.7610065),125.0020007,7.7610065
93,bank,PNB,POINT (125.3570652 6.747331),125.3570652,6.747331
94,bank,Landbank,POINT (125.3553413 6.7550303),125.3553413,6.7550303
95,bank,BCB,POINT (125.1273948 8.1556526),125.1273948,8.1556526
96,bank,PNB,POINT (125.1285269 8.154559300000001),125.1285269,8.1545593
97,bank,China Bank,POINT (125.1298441 8.1520872),125.1298441,8.1520872
98,bank,Bureau of Internal Revenue,POINT (125.1284013 8.153882899999999),125.1284013,8.1538829
99,bank,BDO,POINT (124.6389703 8.4873736),124.6389703,8.4873736
100,bank,RCBC,POINT (124.6365188 8.485567899999999),124.6365188,8.4855679
101,bank,PNB,POINT (124.638196 8.485018),124.638196,8.485018
102,bank,Dumaguete City Development Bank,POINT (125.0917379 7.9170318),125.0917379,7.9170318
103,bank,One Network Bank,POINT (124.6520032 8.475791900000001),124.6520032,8.4757919
104,bank,Metrobank,POINT (124.6506486 8.476919199999999),124.6506486,8.4769192
105,bank,PNB,POINT (124.650547 8.4769383),124.650547,8.4769383
106,bank,BDO,POINT (124.6502432 8.477003699999999),124.6502432,8.4770037
107,bank,UCPB,POINT (124.6525588 8.478675900000001),124.6525588,8.4786759
108,bank,Union Bank of the Philippines,POINT (124.6577742 8.4846016),124.6577742,8.4846016
109,bank,RCBC,POINT (124.6565862 8.4841178),124.6565862,8.4841178
110,bank,East West Bank,POINT (124.6439177 8.4765731),124.6439177,8.4765731
111,bank,PR Bank,POINT (124.644218 8.476791499999999),124.644218,8.4767915
112,bank,RCBC,POINT (124.6442422 8.478283899999999),124.6442422,8.4782839
113,bank,Wealth Bank,POINT (124.6445936 8.478772599999999),124.6445936,8.4787726
114,bank,Rural Bank of Manolo Fortich,POINT (124.8634364 8.367635),124.8634364,8.367635
115,bank,RCBC,POINT (125.0085668 7.7755479),125.0085668,7.7755479
116,bank,EastWest Unibank,POINT (125.0908236 7.9008851),125.0908236,7.9008851
117,bank,RCBC,POINT (125.0933281 7.9066857),125.0933281,7.9066857
118,bank,D' Asian Hills Bank,POINT (124.8661582 8.3674876),124.8661582,8.3674876
119,bank,BDO,POINT (124.6371098 8.4813852),124.6371098,8.4813852
120,bank,Metrobank,POINT (124.6373809 8.481275500000001),124.6373809,8.4812755
121,bank,China Bank,POINT (124.6372912 8.4815778),124.6372912,8.4815778
122,bank,RCBC,POINT (122.0758308 6.9066577),122.0758308,6.9066577
123,bank,Naawan Rural Bank,POINT (124.2908267 8.4323792),124.2908267,8.4323792
124,bank,First Valley Bank,POINT (123.1676203 7.5766896),123.1676203,7.5766896
125,bank,Fisrt Valley Bank,POINT (124.3040762 8.496393899999999),124.3040762,8.4963939
126,bank,Landbank of the Philippines-Polomolok,POINT (125.0624927 6.2176732),125.0624927,6.2176732
127,bank,RCBC-Polomolok,POINT (125.062313 6.2176066),125.062313,6.2176066
128,bank,Landbank Dole EO,POINT (125.0924208 6.2361006),125.0924208,6.2361006
129,bank,RCBC Dole EO,POINT (125.0922384 6.2361006),125.0922384,6.2361006
130,bank,,POINT (125.0595691 6.2190145),125.0595691,6.2190145
131,bank,Penbank,POINT (125.0604526 6.2194568),125.0604526,6.2194568
132,bank,Rural Bank of Digos,POINT (125.3556307 6.7469706),125.3556307,6.7469706
133,bank,PS Bank,POINT (125.3533529 6.7572425),125.3533529,6.7572425
134,bank,Development Bank of the Philippines,POINT (125.3552167 6.7563995),125.3552167,6.7563995
135,bank,BDO,POINT (125.3561187 6.7546991),125.3561187,6.7546991
136,bank,Philippine National Bank,POINT (125.3535328 6.7567868),125.3535328,6.7567868
137,bank,PNB,POINT (125.4554997 7.1907782),125.4554997,7.1907782
138,bank,One Network Bank,POINT (125.179245 6.1180595),125.179245,6.1180595
139,bank,One Network Bank,POINT (125.3453766 6.6402986),125.3453766,6.6402986
140,bank,One Network Bank,POINT (124.9927469 7.676125),124.9927469,7.676125
141,bank,Land Bank of the Philippines,POINT (125.1268146 8.1564994),125.1268146,8.1564994
142,bank,One Network Bank,POINT (125.2061125 5.8228267),125.2061125,5.8228267
143,bank,One Network Bank,POINT (125.4720667 6.555456),125.4720667,6.555456
144,bank,One Network Bank,POINT (125.2118433 6.7876411),125.2118433,6.7876411
