,Unnamed: 0,category,subcategory,name,geometry,lon,lat
51,51,education,college,College of Engineering,POINT (124.2602946 7.9935034),124.2602946,7.9935034
60,60,education,college,"RC Al-Khwarizmi International College Foundation, Inc.",POINT (124.271216 8.001398399999999),124.271216,8.0013984
61,61,education,college,College of Fisheries,POINT (124.261937 8.0007676),124.261937,8.0007676
62,62,education,college,College of Forestry,POINT (124.26249 7.9998425),124.26249,7.9998425
63,63,education,college,College of Business Administration and Accountancy,POINT (124.2581029 7.9938703),124.2581029,7.9938703
64,64,education,college,College of Education,POINT (124.2596358 7.9937856),124.2596358,7.9937856
65,65,education,college,King Faisal Islamic College,POINT (124.2653806 7.9992387),124.2653806,7.9992387
66,66,education,college,College of Public Affairs,POINT (124.2591209 7.9951878),124.2591209,7.9951878
71,71,education,college,Philippine Muslim Teacher's College,POINT (124.2826441 8.001894),124.2826441,8.001894
74,74,education,college,Basilan State College Laboratory High School,POINT (122.0615555 6.6806254),122.0615555,6.6806254
136,8,education,university,Mindanao State University - Grauate School,POINT (124.2178934 7.1758459),124.2178934,7.1758459
137,9,education,university,MSU Graduate School,POINT (124.2176108 7.1746523),124.2176108,7.1746523
233,89,education,elementary,Macasampen Elementary School,POINT (124.3977526 6.9588599),124.3977526,6.9588599
234,90,education,elementary,Taviran Elementary School,POINT (124.3139471 7.1188496),124.3139471,7.1188496
235,91,education,HS,Dulangan National High School,POINT (124.2648761 7.1559099),124.2648761,7.1559099
255,111,education,elementary,Sandakan Elementary School,POINT (124.2897862 7.2657662),124.2897862,7.2657662
343,199,education,elem_HS,unnamed,POINT (124.3271492 7.0103217),124.3271492,7.0103217
344,200,education,elem_HS,Awang Elementaty School,POINT (124.2053138 7.1558482),124.2053138,7.1558482
391,247,education,HS,Sultan Mastura National High School,POINT (124.2802559 7.3046847),124.2802559,7.3046847
392,248,education,elementary,Tapayan Central Elementary School,POINT (124.279704 7.3045237),124.279704,7.3045237
456,312,education,elem_HS,CHRM,POINT (124.2609493 8.001054999999999),124.2609493,8.001055
457,313,education,elem_HS,MSU-Integrated Laboratory School,POINT (124.2593353 8.0003437),124.2593353,8.0003437
461,317,education,elementary,Margues Elementary School,POINT (124.2962844 7.1348258),124.2962844,7.1348258
490,346,education,elem_HS,Notre Dame of Upi,POINT (124.1602271 7.0133499),124.1602271,7.0133499
491,347,education,HS,Saint Francis High School,POINT (124.1635759 7.0137177),124.1635759,7.0137177
