,category,subcategory,name,geometry,lon,lat
0,education,college,Holy Cross College of Davao - Calinan Campus,POINT (125.4559797 7.1879413),125.4559797,7.1879413
1,education,college,Colegio De Kidapawan,POINT (125.0856397 7.000993),125.0856397,7.000993
2,education,college,Dr. P Ocampo College,POINT (125.5153591 7.0332833),125.5153591,7.0332833
3,education,college,Davao Central College,POINT (125.4989931 7.0140446),125.4989931,7.0140446
4,education,college,General Baptist Bible College,POINT (125.5249963 7.0587237),125.5249963,7.0587237
5,education,college,International College of Saint Ignatius De Loyola,POINT (125.5107553 7.0342574),125.5107553,7.0342574
6,education,college,St. Francis College of Davao,POINT (125.4635937 7.1740913),125.4635937,7.1740913
7,education,college,UM Guianga College,POINT (125.4887989 7.1053679),125.4887989,7.1053679
8,education,college,Medina College Science High School,POINT (123.8584671 8.166636199999999),123.8584671,8.1666362
9,education,college,Blessed Mother College,POINT (124.595736 8.5035197),124.595736,8.5035197
10,education,college,Mercy Child College,POINT (124.6068972 8.5036013),124.6068972,8.5036013
11,education,college,Cagayan De Oro College,POINT (124.7451079 8.4948827),124.7451079,8.4948827
12,education,college,Mindanao Sanitarium & Hospital College,POINT (124.2473025 8.2409681),124.2473025,8.2409681
13,education,college,Medina College Science High School,POINT (123.8587064 8.167317499999999),123.8587064,8.1673175
14,education,college,Southern Capitol College,POINT (123.8065342 8.478932199999999),123.8065342,8.4789322
15,education,college,Colegio De San Francisco Javier,POINT (123.5519695 8.526008900000001),123.5519695,8.5260089
16,education,college,Southeastern College,POINT (125.3467876 6.6431426),125.3467876,6.6431426
17,education,college,Doña Lourdes Institute of Technology,POINT (125.1761457 6.1129255),125.1761457,6.1129255
18,education,college,South Philippine Adventist College,POINT (125.2620837 6.7536762),125.2620837,6.7536762
19,education,college,UM  Bansalan College,POINT (125.2083066 6.7893347),125.2083066,6.7893347
20,education,college,Rock Valley Christian College Foundation,POINT (125.0927907 6.9563994),125.0927907,6.9563994
21,education,college,Matalam Polytechnic College,POINT (124.9035514 7.0879263),124.9035514,7.0879263
22,education,college,Central Cotabato College,POINT (124.5391206 7.1994228),124.5391206,7.1994228
23,education,college,Cotabato Medical Foundation College Incorporated (CMFCI)POB,POINT (124.5390688 7.1993289),124.5390688,7.1993289
24,education,college,Midsayap Community College,POINT (124.5348689 7.1924139),124.5348689,7.1924139
25,education,college,St. Jude College Science & Technology,POINT (124.5374841 7.1962768),124.5374841,7.1962768
26,education,college,I - Link College of Science & Technology,POINT (124.539003 7.2084966),124.539003,7.2084966
27,education,college,Cotabato City State Polytechnic College,POINT (124.2456375 7.2120359),124.2456375,7.2120359
28,education,college,Shariff Kabunsuan College,POINT (124.2347337 7.2220113),124.2347337,7.2220113
29,education,college,Southern Kutawato Empire College,POINT (124.2439446 7.2059236),124.2439446,7.2059236
30,education,college,San Isidro College,POINT (125.1262609 8.150924),125.1262609,8.150924
31,education,college,Notre Dame of Tacurong College,POINT (124.6728518 6.6870175),124.6728518,6.6870175
32,education,college,Iligan Medical Center College,POINT (124.2491941 8.231223999999999),124.2491941,8.231224
33,education,college,Mindanao State University - Iligan Institute of Technology,POINT (124.2442352 8.24084),124.2442352,8.24084
34,education,college,St. Francis College of Davao,POINT (125.4593784 7.1860159),125.4593784,7.1860159
35,education,college,Philippine Computer College,POINT (125.017221 7.7880765),125.017221,7.7880765
36,education,college,Valencia College Bukidnon Inc.,POINT (125.0952568 7.9228791),125.0952568,7.9228791
37,education,college,Phil Millennium College,POINT (125.0665466 6.2131214),125.0665466,6.2131214
38,education,college,Phil Nippon Technical College of Davao del Sur,POINT (125.3692644 6.649878),125.3692644,6.649878
39,education,college,AMA Computer College,POINT (122.0791398 6.9162675),122.0791398,6.9162675
40,education,college,St. Mary's College of Bansalan,POINT (125.2148922 6.7813829),125.2148922,6.7813829
41,education,college,Adventure College of Technology & Science,POINT (125.3571266 6.7388884),125.3571266,6.7388884
42,education,college,AMA College,POINT (124.2389895 7.2013567),124.2389895,7.2013567
43,education,college,CAD.IT,POINT (124.2492465 7.2212762),124.2492465,7.2212762
44,education,college,Coland System Technology Institute,POINT (124.2450711 7.2163761),124.2450711,7.2163761
45,education,college,System Technology Institute,POINT (124.2396369 7.2059519),124.2396369,7.2059519
46,education,college,System Technology Institute,POINT (124.2470172 7.2257739),124.2470172,7.2257739
47,education,college,AR Pacheco Collge,POINT (124.2392118 7.2174716),124.2392118,7.2174716
